"PlayerID","PlayerName","Jersey","SchoolName","Height","Weight","DraftYear","JetPosition","PosGroup","pff_PLAYID","GameKey","pff_TEAM","pff_POSITION","pff_GAMEPOSITION","pff_PFFGRADE","pff_ROLE","pff_BALLCARRIER","pff_BEATENBYDEFENDER","pff_CAUSEDFLAG","pff_DROPPEDPASS","pff_FORCEDFUMBLE","pff_FUMBLE","pff_FUMBLERECOVERED","pff_HITALLOWED","pff_HURRYALLOWED","pff_INCOMPLETIONTYPE","pff_INTERCEPTION","pff_MOTION","pff_ONLOS","pff_PASSROUTE","pff_PASSROUTENAME","pff_PASSER","pff_PASSINGYARDS","pff_PENALTY","pff_PFFPENGRADE","pff_PLAYERDEPTH","pff_PRESSUREALLOWED","pff_PRESSWR","pff_PUMPFAKE","pff_QB","pff_RBDIRECTION","pff_RECEIVINGYARDS","pff_RUSHINGYARDS","pff_SACKALLOWED","pff_SCREENBLOCK","pff_STANCETYPE","pff_TACKLESAVOIDED","pff_TARGETEDRECEIVER","pff_TOUCHDOWN","pff_WRSPLITS","pff_YARDSAFTERCATCH","pff_YARDSAFTERCONTACT","PFFVAR","EPAR"
37266,"KELCE, JASON",62,"CINCINNATI",6025,280,2011,"C","OL",4950440,59072,"PHI","C","C","0.5","Run Block","","","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","3","","","","","","",0.11,0.21
37266,"KELCE, JASON",62,"CINCINNATI",6025,280,2011,"C","OL",4950448,59072,"PHI","C","C","0","Pass Block","","","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","3","","","","","","",0,0.02
37266,"KELCE, JASON",62,"CINCINNATI",6025,280,2011,"C","OL",4950455,59072,"PHI","C","C","0","Pass Block","","","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","3","","","","","","",0,0.03
37266,"KELCE, JASON",62,"CINCINNATI",6025,280,2011,"C","OL",4950459,59072,"PHI","C","C","0","Run Block","","","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","3","","","","","","",0,-0.01
37266,"KELCE, JASON",62,"CINCINNATI",6025,280,2011,"C","OL",4950465,59072,"PHI","C","C","0","Run Block","","","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","3","","","","","","",0,-0.07
37266,"KELCE, JASON",62,"CINCINNATI",6025,280,2011,"C","OL",4950472,59072,"PHI","C","C","0","Pass Block","","","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","3","","","","","","",0.01,0
37266,"KELCE, JASON",62,"CINCINNATI",6025,280,2011,"C","OL",4950742,59072,"PHI","C","C","0.0","Run Block","","","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","3","","","","","","",0,0.04
37266,"KELCE, JASON",62,"CINCINNATI",6025,280,2011,"C","OL",4950748,59072,"PHI","C","C","0","Run Block","","","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","3","","","","","","",0.01,0.04
37266,"KELCE, JASON",62,"CINCINNATI",6025,280,2011,"C","OL",4950753,59072,"PHI","C","C","0","Run Block","","","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","3","","","","","","",0,-0.17
37266,"KELCE, JASON",62,"CINCINNATI",6025,280,2011,"C","OL",4950759,59072,"PHI","C","C","0","Pass Block","","","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","3","","","","","","",0.01,0.01
