gameId,playId,nflId,maxSpeed
2020091000,1039,46312,9.88
2020091000,1039,46778,9.53
2020091000,2437,46312,10.03
2020091000,2437,46778,10.03
2020091000,2659,43986,8.98
2020091000,2659,46522,9.41
2020091000,3435,43986,8.23
2020091000,3435,46522,7.5
2020091300,1333,39232,10.36
2020091300,1333,47915,10.12
2020091300,1510,44969,8.48
2020091300,1510,48374,10
2020091300,1656,39232,9.14
2020091300,1656,47915,9.18
2020091300,1810,44969,8.03
2020091300,1810,48374,8.72
2020091300,1986,39232,10.25
2020091300,1986,47915,10.12
2020091301,1332,46672,9.65
2020091301,1332,46992,9.28
2020091301,2272,46187,8.07
2020091301,2272,47876,10.12
2020091301,2590,46346,7.9
2020091301,2590,46672,9.86
2020091301,3188,46187,10.04
2020091301,3188,52500,9.05
2020091301,3762,46187,10.07
2020091301,3762,52500,10.39
2020091301,3954,46162,8.83
2020091301,3954,46346,7.92
2020091302,137,45395,9.62
2020091302,137,52476,9.55
2020091302,399,45395,8.65
2020091302,399,52476,9.66
2020091302,740,45395,7.51
2020091302,740,52476,10.06
2020091302,1155,45395,9.49
2020091302,1155,52476,10.28
2020091302,2505,37200,9.25
2020091302,2505,46223,9.85
2020091302,2662,45395,9.04
2020091302,2662,52476,10.2
2020091302,3789,45395,10.09
2020091302,3789,52476,9.47
2020091303,2143,46273,10.47
2020091303,2143,52939,10.12
2020091303,2432,46273,8.65
2020091303,2432,52939,10.21
2020091303,3247,47912,9.79
2020091303,3247,48241,10.02
2020091304,116,35583,8.93
2020091304,116,39975,10.11
2020091304,409,43987,10.5
2020091304,409,44978,10.29
2020091304,1025,42590,9.21
2020091304,1025,43987,10.14
2020091304,1916,43987,9.5
2020091304,1916,44978,10.2
2020091304,2017,35583,9.44
2020091304,2017,39975,9.02
2020091304,2655,35583,9.01
2020091304,2655,39975,9.12
2020091304,3479,43987,9.89
2020091304,3479,44978,9.79
2020091304,3641,35583,9.74
2020091304,3641,39975,10.11
2020091305,548,52631,9.04
2020091305,548,52737,10.31
2020091305,937,52631,8.95
2020091305,937,52737,9.98
2020091305,2211,52631,10.11
2020091305,2211,52737,8.92
2020091306,1331,48000,10.27
2020091306,1331,52878,10.01
2020091306,2197,48000,8.67
2020091306,2197,52878,10.28
2020091306,2375,43357,9.61
2020091306,2375,46114,9.32
