gameId,playId,nflId,maxSpeed
2020091000,1039,43986,9.64
2020091000,1039,46757,9.6
2020091000,2437,43986,9.51
2020091000,2437,47984,9.99
2020091000,2659,41316,8.84
2020091000,2659,46312,7.69
2020091000,3435,41316,7.57
2020091000,3435,46312,8.72
2020091000,3435,46778,7.61
2020091300,1333,40018,9.99
2020091300,1333,41250,9.89
2020091300,1510,39232,8
2020091300,1510,46215,8.23
2020091300,1510,47915,9.8
2020091300,1656,40018,9.35
2020091300,1656,41250,9.14
2020091300,1810,39232,8.78
2020091300,1810,46215,8.01
2020091300,1810,47830,6.69
2020091300,1810,47915,7.74
2020091300,1986,40018,9.53
2020091300,1986,41250,10.28
2020091301,1332,43393,9.93
2020091301,1332,46187,8.84
2020091301,2272,46122,7.56
2020091301,2272,46346,7.61
2020091301,2272,46672,9.25
2020091301,2272,47902,9.87
2020091301,2590,42407,7.6
2020091301,2590,43393,8.07
2020091301,2590,46187,9.79
2020091301,3188,46122,8.9
2020091301,3188,46672,9.39
2020091301,3762,46122,9.91
2020091301,3762,46346,9.69
2020091301,3954,44828,7.89
2020091301,3954,46187,8.28
2020091302,137,37200,9.76
2020091302,137,46190,8.73
2020091302,399,37200,9.7
2020091302,399,46190,8.25
2020091302,399,46223,8
2020091302,740,37200,9.98
2020091302,740,46190,8.01
2020091302,740,52536,7.54
2020091302,1155,44839,9.25
2020091302,1155,46698,9.8
2020091302,2505,44971,7.99
2020091302,2505,45395,7.82
2020091302,2662,37200,10.14
2020091302,2662,46190,8.32
2020091302,2662,48487,8.15
2020091302,3789,37200,9.53
2020091302,3789,46190,9.88
2020091303,2143,47823,8.45
2020091303,2143,48241,9.52
2020091303,2432,47810,8.18
2020091303,2432,47912,8.87
2020091303,2432,48241,10.09
2020091303,3247,46273,9.3
2020091303,3247,52521,9.31
2020091303,3247,52852,10.17
2020091304,116,43987,9.4
2020091304,116,47929,9.25
2020091304,409,35583,8.64
2020091304,409,37212,9.91
2020091304,409,52571,8.99
2020091304,1025,41240,9.88
2020091304,1025,52458,8.8
2020091304,1916,41240,9.27
2020091304,1916,52458,8.77
2020091304,2017,42590,8.62
2020091304,2017,43987,9.53
2020091304,2017,52574,9.12
2020091304,2655,42590,8.28
2020091304,2655,43987,8.7
2020091304,3479,37212,10.22
2020091304,3479,52571,8.96
2020091304,3641,42590,9.34
2020091304,3641,43987,9.06
2020091304,3641,52574,9.74
2020091305,548,41448,9.4
2020091305,548,47817,9.88
2020091305,937,41448,8.06
2020091305,937,47817,9.65
2020091305,2211,41448,9.63
2020091305,2211,52619,9.5
2020091306,1331,46114,9.07
2020091306,1331,47968,10.04
2020091306,2197,46114,9.63
2020091306,2197,47968,8.93
2020091306,2375,48000,8.4
2020091306,2375,52439,9.33
2020091307,121,38707,8.79
2020091307,121,46775,9.61
2020091307,328,45608,9.11
2020091307,328,48476,9.33
2020091307,504,38707,9.56
2020091307,504,46775,9.68
2020091307,1363,42370,9.3
2020091307,1363,52438,8.83
2020091307,2202,38707,9.84
2020091307,2202,46775,9.37
2020091308,483,45021,9.19
2020091308,483,46535,9.93
2020091308,864,45021,8.47
2020091308,864,46535,9.65
2020091308,864,47974,7.87
2020091308,1073,44893,8.78
2020091308,1073,46310,10.12
2020091308,1073,46329,8.4
2020091308,1597,45021,7.15
2020091308,1597,46535,8.37
2020091308,1597,47974,7.79
2020091308,1691,44893,7.42
2020091308,1691,46310,9.91
2020091308,1691,46329,7.84
2020091308,1801,45021,9
2020091308,1801,46535,9.7
2020091308,2104,44893,6.86
2020091308,2104,46310,9.8
2020091308,2104,46329,7.49
2020091308,2248,44893,9.19
2020091308,2248,48010,8.47
2020091308,2362,43701,9.41
2020091308,2362,45021,6.99
2020091308,2362,47974,8.03
2020091308,2880,43701,7.92
2020091308,2880,45021,9.4
2020091308,2880,47974,7.33
2020091308,2880,52535,9.54
2020091309,121,45571,10.02
2020091309,121,46729,10.03
2020091309,270,43495,10.35
2020091309,270,45020,9.25
2020091309,270,46724,9.52
2020091309,437,45571,10.04
2020091309,437,46729,8.79
2020091309,539,43495,9.97
2020091309,539,45020,7.63
2020091309,539,46724,7.62
2020091309,655,45571,9.06
2020091309,655,46729,6.06
2020091309,655,47843,5.82
2020091309,781,43495,9.57
2020091309,781,46724,8.55
2020091309,1350,45571,9.41
2020091309,1350,46729,9.31
2020091309,1770,45571,9.34
